resized_crop_source,model_source,truncated,occluded,slightly_occluded,image_path,cat_id,example_id,model_name,azimuth,elevation,inplane_rotation
ikea,ikea,False,False,False,resized_crop/chair/0011.png,chair,IKEA_JULES_2,model,247.38177683048343,17.24150445910398,-0.08712477651672433
ikea,ikea,False,False,False,resized_crop/chair/0016.png,chair,IKEA_URBAN,model,93.56682212022451,16.89342454331323,-0.06155030996808601
ikea,ikea,False,False,False,resized_crop/chair/0027.png,chair,IKEA_STEFAN,model,191.3649583545477,10.72467966287886,0.007190871104821344
ikea,ikea,False,False,False,resized_crop/chair/0045.png,chair,IKEA_URBAN,model,169.12373163998532,10.438499361413225,-0.03870371204539907
ikea,ikea,False,False,False,resized_crop/chair/0046.png,chair,IKEA_POANG_2,model,353.28983941679354,12.733454884579318,0.0308892783115224
ikea,ikea,False,False,False,resized_crop/chair/0053.png,chair,IKEA_POANG_1,model,301.8275170047486,23.31638468463561,-0.07952466938877016
ikea,ikea,False,False,False,resized_crop/chair/0055.png,chair,IKEA_POANG_1,model,47.35401116726408,22.88753901799441,-0.06499842399196391
ikea,ikea,False,False,False,resized_crop/chair/0066.png,chair,IKEA_POANG_2,model,27.076254624360992,5.179526255604227,-0.023399274651314785
ikea,ikea,False,False,False,resized_crop/chair/0072.png,chair,IKEA_POANG_2,model,325.60235926340215,11.615035937569006,-0.019156464718240236
ikea,ikea,False,False,False,resized_crop/chair/0077.png,chair,IKEA_POANG_2,model,354.2323583479921,33.97459340757068,0.04118817732499438
ikea,ikea,False,False,False,resized_crop/chair/0080.png,chair,IKEA_POANG_2,model,177.1611113548545,14.392454642349115,-0.04613189367637945
ikea,ikea,False,False,False,resized_crop/chair/0085.png,chair,IKEA_POANG_2,model,35.89058958477325,22.335437311714013,-0.05405385808650329
ikea,ikea,False,False,False,resized_crop/chair/0091.png,chair,IKEA_POANG_2,model,0.6706230303797689,42.107395528085924,0.06326935979320322
ikea,ikea,False,False,False,resized_crop/chair/0108.png,chair,IKEA_POANG_2,model,335.3080091459277,32.90193205525715,-0.009975056266885541
ikea,ikea,False,False,False,resized_crop/chair/0111.png,chair,IKEA_SOLSTA_OLARP,model,352.48163414252036,25.290269075219204,-0.0398279094809901
ikea,ikea,False,False,False,resized_crop/chair/0114.png,chair,IKEA_POANG_2,model,355.6787112308476,39.517790390965146,0.023807803629443115
self-taken,self-scanned,False,False,False,resized_crop/chair/0121.png,chair,SS_001,model,81.79296881308639,60.69867918266888,0.12495476698797428
self-taken,self-scanned,False,False,False,resized_crop/chair/0122.png,chair,SS_001,model,97.7313698184165,7.735780252156028,-0.0423666745018368
self-taken,self-scanned,False,False,False,resized_crop/chair/0129.png,chair,SS_001,model,59.093837100828374,35.610167061571154,0.119671434139748
self-taken,self-scanned,False,False,False,resized_crop/chair/0130.png,chair,SS_001,model,174.61871279986445,16.753460535593792,-0.07656078207967516
self-taken,self-scanned,False,False,False,resized_crop/chair/0132.png,chair,SS_002,model,8.70187985691419,37.31386725153085,-0.14144759213140518
self-taken,self-scanned,False,False,False,resized_crop/chair/0133.png,chair,SS_002,model,10.592599618152596,35.18121124883541,-0.1578031773839272
self-taken,self-scanned,False,False,False,resized_crop/chair/0135.png,chair,SS_003,model,300.11832883015825,36.66841928322639,-0.2787890605349499
self-taken,self-scanned,False,False,False,resized_crop/chair/0138.png,chair,SS_003,model,54.656711149034884,37.49059250756393,-0.29494768319383263
self-taken,self-scanned,False,False,False,resized_crop/chair/0141.png,chair,SS_004,model,358.06857801584715,26.89913063633003,-0.008359649018021529
self-taken,self-scanned,False,False,False,resized_crop/chair/0142.png,chair,SS_004,model,354.06462743967865,45.84942025825779,0.09613220258585348
self-taken,self-scanned,False,False,False,resized_crop/chair/0144.png,chair,SS_005,model,39.99072958715989,31.2032933750762,0.10139458808941933
self-taken,self-scanned,False,False,False,resized_crop/chair/0145.png,chair,SS_005,model,60.949679754892976,23.00613531666253,-0.13976048825862258
self-taken,self-scanned,False,False,False,resized_crop/chair/0150.png,chair,SS_006,model,8.504215237791827,-0.0261118147024774,-0.22873357464197336
self-taken,self-scanned,False,False,False,resized_crop/chair/0152.png,chair,SS_006,model,19.70261351985893,-16.275709553351184,-0.25444174597588176
self-taken,self-scanned,False,False,False,resized_crop/chair/0153.png,chair,SS_006,model,41.930188911943,34.3468992924089,-0.06453871658842375
self-taken,self-scanned,False,False,False,resized_crop/chair/0155.png,chair,SS_007,model,17.46421122058267,26.34795857326581,-0.02715064523713884
self-taken,self-scanned,False,False,False,resized_crop/chair/0158.png,chair,SS_007,model,329.24444405820975,30.0776708963021,-0.2751799554367233
self-taken,self-scanned,False,False,False,resized_crop/chair/0162.png,chair,SS_007,model,326.4893474935916,22.514547304646843,-0.06435826016883192
self-taken,self-scanned,False,False,False,resized_crop/chair/0163.png,chair,SS_007,model,331.28624469337376,33.332620819386314,-0.038386379986237104
self-taken,self-scanned,False,False,False,resized_crop/chair/0166.png,chair,SS_007,model,356.7579507183825,31.855712200406643,-0.07541097600423634
self-taken,self-scanned,False,False,False,resized_crop/chair/0167.png,chair,SS_007,model,318.2923582453418,40.69670307610765,-0.09201432640628827
self-taken,self-scanned,False,False,False,resized_crop/chair/0168.png,chair,SS_007,model,10.161667545648234,21.7639218079186,-0.15166490500388286
self-taken,self-scanned,False,False,False,resized_crop/chair/0171.png,chair,SS_008,model,343.44083508651624,44.47769891178771,0.3380267120035332
self-taken,self-scanned,False,False,False,resized_crop/chair/0172.png,chair,SS_008,model,10.541195542521887,18.984226520626475,-0.1054090907001582
self-taken,self-scanned,False,False,False,resized_crop/chair/0176.png,chair,SS_008,model,330.80860805633057,39.078008828995685,0.1607059412342388
self-taken,self-scanned,False,False,False,resized_crop/chair/0179.png,chair,SS_008,model,217.63187116252064,40.40311460691768,-0.040354446864484604
self-taken,self-scanned,False,False,False,resized_crop/chair/0181.png,chair,SS_009,model,212.0974874299756,20.73194561731754,-0.2779127535415103
self-taken,self-scanned,False,False,False,resized_crop/chair/0182.png,chair,SS_009,model,303.5781226092626,14.365438757932179,-0.2608168730030895
self-taken,self-scanned,False,False,False,resized_crop/chair/0183.png,chair,SS_009,model,357.3787765636007,33.96372310347216,-0.1284579331083447
self-taken,self-scanned,False,False,False,resized_crop/chair/0184.png,chair,SS_009,model,47.88364903564562,36.08291370171319,-0.13374578972741547
self-taken,self-scanned,False,False,False,resized_crop/chair/0188.png,chair,SS_010,model,65.35189498393612,23.275826415833787,-0.1421945602585303
self-taken,self-scanned,False,False,False,resized_crop/chair/0190.png,chair,SS_010,model,60.227098676507616,13.097356941325822,-0.10213932718684032
self-taken,self-scanned,False,False,False,resized_crop/chair/0193.png,chair,SS_010,model,238.91128657025803,27.98831974515593,-0.18707430590859314
self-taken,self-scanned,False,False,False,resized_crop/chair/0194.png,chair,SS_010,model,302.2842570456672,24.216124913759128,-0.2609062486654062
self-taken,self-scanned,False,False,False,resized_crop/chair/0197.png,chair,SS_010,model,324.61496928067106,30.14011363881391,-0.11877405652529505
self-taken,self-scanned,False,False,False,resized_crop/chair/0199.png,chair,SS_011,model,230.46553457940544,29.868767704851532,-0.0926642475217584
self-taken,self-scanned,False,False,False,resized_crop/chair/0200.png,chair,SS_011,model,229.89913662637832,31.552243109208927,-0.08279028868844678
self-taken,self-scanned,False,False,False,resized_crop/chair/0201.png,chair,SS_011,model,127.56546433907192,26.66716130270616,-0.14011795708604774
self-taken,self-scanned,False,False,False,resized_crop/chair/0202.png,chair,SS_012,model,246.7685319490776,18.604920836969274,-0.10115824215141468
self-taken,self-scanned,False,False,False,resized_crop/chair/0203.png,chair,SS_012,model,253.32680832963257,53.164682384767076,-0.10711908314495527
self-taken,self-scanned,False,False,False,resized_crop/chair/0204.png,chair,SS_012,model,113.52734448555138,37.29424696735504,0.08040404547378886
self-taken,self-scanned,False,False,False,resized_crop/chair/0206.png,chair,SS_012,model,328.47494774031406,31.14097552016532,-0.018799234474701828
self-taken,self-scanned,False,False,False,resized_crop/chair/0209.png,chair,SS_012,model,332.59364974534884,35.559477186717686,0.12504953938058375
self-taken,self-scanned,False,False,False,resized_crop/chair/0210.png,chair,SS_012,model,257.76439062755287,26.18486716515198,0.2110142831543558
self-taken,self-scanned,False,False,False,resized_crop/chair/0212.png,chair,SS_012,model,349.6582057210348,8.827094544282346,-0.13377661130110596
self-taken,self-scanned,False,False,False,resized_crop/chair/0213.png,chair,SS_012,model,345.3247165795346,27.200917057242414,-0.022752422390334464
self-taken,self-scanned,False,False,False,resized_crop/chair/0214.png,chair,SS_013,model,23.43668928533549,35.460889624236906,0.07832412375278977
self-taken,self-scanned,False,False,False,resized_crop/chair/0215.png,chair,SS_013,model,333.01489323279293,24.222094141969308,-0.16856773659710828
self-taken,self-scanned,False,False,False,resized_crop/chair/0216.png,chair,SS_013,model,26.77151202012517,31.87039603533659,0.0914599273350856
self-taken,self-scanned,False,False,False,resized_crop/chair/0220.png,chair,SS_013,model,324.81262325447256,52.57681402980103,0.2261317514556706
